time,open,high,low,close,tick_volume,spread,real_volume
2025-02-13 17:10:00,2918.27,2919.24,2917.17,2918.91,1360,7,0
2025-02-13 17:15:00,2918.91,2919.74,2918.39,2919.33,996,7,0
2025-02-13 17:20:00,2919.33,2919.51,2917.41,2917.93,995,7,0
2025-02-13 17:25:00,2917.87,2918.73,2915.9,2916.21,1279,7,0
2025-02-13 17:30:00,2916.22,2916.89,2915.47,2916.37,1027,7,0
2025-02-13 17:35:00,2916.38,2919.92,2916.25,2919.42,1275,7,0
2025-02-13 17:40:00,2919.42,2919.64,2917.11,2917.11,996,7,0
2025-02-13 17:45:00,2917.11,2919.54,2916.76,2919.39,1057,7,0
2025-02-13 17:50:00,2919.39,2920.97,2918.77,2919.44,978,7,0
2025-02-13 17:55:00,2919.42,2920.97,2919.42,2920.26,781,7,0
2025-02-13 18:00:00,2920.23,2920.77,2918.86,2920.44,1066,7,0
2025-02-13 18:05:00,2920.44,2920.79,2918.78,2919.03,874,7,0
2025-02-13 18:10:00,2919.02,2920.57,2918.95,2919.94,935,7,0
2025-02-13 18:15:00,2919.95,2919.95,2916.61,2917.41,1035,7,0
2025-02-13 18:20:00,2917.41,2918.2,2916.66,2917.66,968,7,0
2025-02-13 18:25:00,2917.66,2918.88,2916.86,2917.78,917,7,0
2025-02-13 18:30:00,2917.78,2917.88,2916.5,2917.37,863,7,0
2025-02-13 18:35:00,2917.36,2917.39,2915.67,2915.84,812,7,0
2025-02-13 18:40:00,2915.84,2917.65,2915.56,2916.51,767,7,0
2025-02-13 18:45:00,2916.51,2916.51,2914.26,2915.55,841,7,0
2025-02-13 18:50:00,2915.55,2915.55,2913.29,2913.48,730,7,0
2025-02-13 18:55:00,2913.48,2914.55,2913.0,2913.84,777,7,0
2025-02-13 19:00:00,2913.85,2914.97,2913.54,2914.75,798,7,0
2025-02-13 19:05:00,2914.75,2916.36,2914.69,2916.28,619,7,0
2025-02-13 19:10:00,2916.23,2916.82,2915.59,2916.33,671,7,0
2025-02-13 19:15:00,2916.28,2916.5,2915.36,2915.63,671,7,0
2025-02-13 19:20:00,2915.63,2917.33,2914.93,2917.14,632,7,0
2025-02-13 19:25:00,2917.14,2917.21,2916.21,2916.45,527,7,0
2025-02-13 19:30:00,2916.46,2917.01,2914.96,2915.3,584,7,0
2025-02-13 19:35:00,2915.31,2916.99,2914.85,2916.97,609,7,0
2025-02-13 19:40:00,2916.97,2917.25,2915.74,2916.37,686,7,0
2025-02-13 19:45:00,2916.37,2918.71,2916.13,2918.71,825,7,0
2025-02-13 19:50:00,2918.73,2919.09,2918.08,2918.3,1148,7,0
2025-02-13 19:55:00,2918.33,2919.17,2918.27,2919.03,1216,7,0
2025-02-13 20:00:00,2919.06,2919.06,2917.92,2918.14,593,7,0
2025-02-13 20:05:00,2918.14,2918.82,2917.6,2918.32,554,7,0
2025-02-13 20:10:00,2918.32,2918.51,2915.95,2915.95,649,7,0
2025-02-13 20:15:00,2915.95,2916.81,2914.94,2915.43,804,7,0
2025-02-13 20:20:00,2915.42,2916.59,2914.86,2916.15,843,7,0
2025-02-13 20:25:00,2916.15,2917.68,2915.38,2917.12,1032,7,0
2025-02-13 20:30:00,2917.11,2919.21,2917.03,2918.93,1126,7,0
2025-02-13 20:35:00,2918.93,2919.75,2918.67,2919.35,613,7,0
2025-02-13 20:40:00,2919.35,2919.45,2914.34,2918.11,1683,7,0
2025-02-13 20:45:00,2918.11,2921.03,2917.5,2921.02,992,7,0
2025-02-13 20:50:00,2921.02,2921.81,2919.8,2921.54,1305,7,0
2025-02-13 20:55:00,2921.54,2925.38,2921.43,2924.23,1106,7,0
2025-02-13 21:00:00,2924.24,2926.31,2923.89,2925.97,1104,7,0
2025-02-13 21:05:00,2925.97,2926.56,2925.41,2926.41,831,7,0
2025-02-13 21:10:00,2926.41,2926.48,2925.23,2926.46,626,7,0
2025-02-13 21:15:00,2926.46,2927.21,2925.58,2926.0,693,7,0
2025-02-13 21:20:00,2926.0,2926.48,2925.24,2925.42,568,7,0
2025-02-13 21:25:00,2925.42,2926.85,2924.47,2926.42,538,7,0
2025-02-13 21:30:00,2926.42,2927.16,2925.77,2926.42,555,7,0
2025-02-13 21:35:00,2926.42,2927.08,2926.29,2926.89,577,7,0
2025-02-13 21:40:00,2926.89,2927.08,2926.26,2926.45,489,7,0
2025-02-13 21:45:00,2926.45,2926.45,2925.32,2926.07,707,7,0
2025-02-13 21:50:00,2926.07,2927.34,2926.02,2926.95,576,7,0
2025-02-13 21:55:00,2926.95,2927.13,2926.63,2926.85,495,7,0
2025-02-13 22:00:00,2926.86,2926.86,2925.79,2926.21,570,7,0
2025-02-13 22:05:00,2926.19,2926.19,2925.41,2925.51,466,7,0
2025-02-13 22:10:00,2925.51,2926.42,2925.14,2926.34,529,7,0
2025-02-13 22:15:00,2926.34,2928.07,2925.99,2927.99,616,7,0
2025-02-13 22:20:00,2927.99,2928.91,2927.77,2928.22,629,7,0
2025-02-13 22:25:00,2928.22,2928.28,2925.73,2926.02,819,7,0
